SKU,Rangsutra Online,location
PWKR01,5,rs_online
PWTM002,5,rs_online
"""BTC 03/18/GA/BLOUSE PC/03/HAND EMB/BG&RU """,1,rs_online
PWMG01,4,rs_online
PWBK011,5,rs_online
PWBK01,5,rs_online
PWBL001,5,rs_online
PWTM003,5,rs_online
PWTM001,5,rs_online
PWTR001,5,rs_online
PWCT003,5,rs_online
PWCT002,5,rs_online
PWCT001,5,rs_online
RAKSHA/07/20/GA/RAKSHA KIT/07/YL/FS,0,rs_online
RAKSHA/07/20/GA/RAKSHA KIT/07/PK/FS,0,rs_online
RAKSHA/07/20/GA/RAKSHA KIT/07/TQ/FS,-1,rs_online
RAKSHA/07/20/GA/RAKSHA KIT/06/PK/FS,0,rs_online
RAKSHA/07/20/GA/RAKSHA KIT/06/WH/FS,-1,rs_online
RAKSHA/07/20/GA/EMB BEADS RAKHI/05/TQ/FS,3,rs_online
RAKSHA/07/20/GA/EMB FLORAL RAKHI/04/YL/FS,0,rs_online
RAKSHA/07/20/GA/EMB BEADS RAKHI/03/PK/FS,0,rs_online
RAKSHA/07/20/GA/EMB BEADS RAKHI/02/YL/FS,-1,rs_online
RAKSHA/07/20/GA/EMB FLORAL RAKHI/01/PK/FS,1,rs_online
EWD/07/20/GA/PRINTED MASK/02/AS/FS,4,rs_online
EWD/07/20/GA/PRINTED MASK/02/AS/FS,3,rs_online
EWD/07/20/GA/PRINTED MASK/01/AS/FS,3,rs_online
EWD/07/20/GA/PRINTED MASK/01/AS/FS,3,rs_online
EDW/4/17/HM/PILLOW COVER16/PRINT/BR/50X75,5,rs_online
EDW/12/18/GA/SUIT PCS/FULKARI EMB ALL/03/BK/3MTR.,4,rs_online
EDW/1/19/GA/POUCH/RALLI/01/YL,3,rs_online
EDW/1/19/GA/POUCH/RALLI/01/TQ,4,rs_online
BTC/08/17/WI/LONG KURTA/09/TIE&DYE/GR/XL,0,rs_online
BTC/08/17/WI/LONG KURTA/09/TIE&DYE/GR/L,0,rs_online
BTC/08/17/WI/LONG KURTA/09/TIE&DYE/GR/M,3,rs_online
BTC/08/17/WI/LONG KURTA/09/TIE&DYE/GR/S,2,rs_online
BTC-08-17-WIW-SHORTKURTA-05-TIE&DYE-B&W-XL,0,rs_online
BTC/08/17/WW/SHORT KURTA/05/TIE&DYE/B&W/L,0,rs_online
BTC/08/17/WW/SHORT KURTA/05/TIE&DYE/B&W/M,3,rs_online
BTC/08/17/WW/SHORT KURTA/05/TIE&DYE/B&W/S,3,rs_online
BTC/08/17/WW/SHORT KURTA/10/TIE&DYE/GR/XL,1,rs_online
BTC/08/17/WW/SHORT KURTA/10/TIE&DYE/GR/L,3,rs_online
BTC/08/17/WW/SHORT KURTA/10/TIE&DYE/GR/M,0,rs_online
BTC/08/17/WW/SHORT KURTA/10/TIE&DYE/GR/S,6,rs_online
BTC/07/18/WW/BIAS TOP/04/SHIBORI/YL/XL,2,rs_online
BTC/07/18/WW/BIAS TOP/04/SHIBORI/YL/L,6,rs_online
BTC/07/18/WW/BIAS TOP/04/SHIBORI/YL/M,4,rs_online
BTC/07/18/WW/BIAS TOP/04/SHIBORI/YL/S,0,rs_online
BTC/07/18/WW/BIAS TOP/04/SHIBORI/PK/XL,3,rs_online
BTC/07/18/WW/BIAS TOP/04/SHIBORI/PK/L,5,rs_online
BTC/07/18/WW/BIAS TOP/04/SHIBORI/PK/M,6,rs_online
BTC/07/18/WW/BIAS TOP/04/SHIBORI/PK/S,2,rs_online
BTC/07/18/WW/SHORT KURTA WITH YOKE/05/SHIBORI/TQ/L,10,rs_online
BTC/07/18/WW/SHORT KURTA WITH YOKE/05/SHIBORI/TQ/M,12,rs_online
BTC/07/18/WW/SHORT KURTA WITH YOKE/05/SHIBORI/TQ/S,9,rs_online
BTC/07/18/WW/SHORT KURTA WITH YOKE/05/SHIBORI/PK/L,9,rs_online
BTC/07/18/WW/SHORT KURTA WITH YOKE/05/SHIBORI/PK/M,10,rs_online
BTC/07/18/WW/SHORT KURTA WITH YOKE/05/SHIBORI/PK/S,10,rs_online
BTC/07/18/WI/ALINE KURTA/01/SHIBORI/YL/XL,6,rs_online
BTC/07/18/WI/ALINE KURTA/01/SHIBORI/YL/L,4,rs_online
BTC/07/18/WI/ALINE KURTA/01/SHIBORI/YL/M,7,rs_online
BTC/07/18/WI/ALINE KURTA/01/SHIBORI/YL/S,0,rs_online
BTC/07/18/WI/ANARKALI KURTA/02/SHIBORI/PK/L,4,rs_online
BTC/07/18/WI/ANARKALI KURTA/02/SHIBORI/PK/M,0,rs_online
BTC/07/18/WI/ANARKALI KURTA/02/SHIBORI/PK/S,0,rs_online
BTC/07/18/WI/SLIT KURTA SLEVLESS/03/SHIBORI/PK-XL,5,rs_online
BTC/07/18/WI/SLIT KURTA SLEVLESS/03/SHIBORI/PK-L,7,rs_online
BTC/07/18/WI/SLIT KURTA SLEVLESS/03/SHIBORI/PK-M,7,rs_online
BTC/07/18/WI/SLIT KURTA SLEVLESS/03/SHIBORI/PK-S,3,rs_online
BTC/07/18/WI/SLIT KURTA SLEVLESS/03/SHIBORI/GR/XL,5,rs_online
BTC/07/18/WI/SLIT KURTA SLEVLESS/03/SHIBORI/GR/L,7,rs_online
BTC/07/18/WI/SLIT KURTA SLEVLESS/03/SHIBORI/GR/M,7,rs_online
BTC/07/18/WI/SLIT KURTA SLEVLESS/03/SHIBORI/GR/S,2,rs_online
BTC/03/18/WI/SLIT KRT SLEEVELESS/APPLIQUE/07/CR/XL,5,rs_online
BTC/03/18/WI/SLIT KRT SLEEVELESS/APPLIQUE/07/CR/L,5,rs_online
BTC/03/18/WI/SLIT KRT SLEEVELESS/APPLIQUE/07/CR/M,7,rs_online
BTC03-18-WI-SLITKRTSLEEVELESS-APPLIQUE-07-CR-S,0,rs_online
BTC/03/18/WI/A LINE KRT/06/APPLIQUE/CR/XL,1,rs_online
BTC/03/18/WI/A LINE KRT/06/APPLIQUE/CR/L,7,rs_online
BTC/03/18/WI/A LINE KRT/06/APPLIQUE/CR/M,4,rs_online
BTC/03/18/WI/A LINE KRT/06/APPLIQUE/CR/S,1,rs_online
BTC/03/18/WW/SHORT KRT/APPLIQUE/08/CR/XL,0,rs_online
BTC/03/18/WW/SHORT KRT/APPLIQUE/08/CR/L,4,rs_online
BTC/03/18/WW/SHORT KRT/APPLIQUE/08/CR/M,4,rs_online
BTC/03/18/WW/SHORT KRT/APPLIQUE/08/CR/S,0,rs_online
BTC/12/17/GA/SAREE/EXTRA WEFT/STRIPS/BK&GY,0,rs_online
BTC/01/2016/GA/SARI/EXTRA WEFT/STRIPS/01/RD&NT,4,rs_online
BTC/03/2016/GA/SARI/EXTRA WEFT/SMALL CHECK/03/GY&BK,6,rs_online
BTC/07/2016/GA/SARI/EXTRA WEFT/STRIPS/07/PK&NT,3,rs_online
BTC58/4/17/GA/SARI/EXTRA WEFT/STRIP/58/BL&RD,2,rs_online
WW-103-AADHYA DRESS TIE & DYE/TQ/XL,0,rs_online
WW-103-AADHYA DRESS TIE & DYE/TQ/L,0,rs_online
WW-103-AADHYA DRESS TIE & DYE/TQ/M,0,rs_online
WW-103-AADHYA DRESS TIE & DYE/TQ/S,0,rs_online
WW-149-SIYA SHORT KRT/TQ/XL,15,rs_online
WW-149-SIYA SHORT KRT/TQ/L,10,rs_online
WW-149-SIYA SHORT KRT/TQ/M,8,rs_online
WW-149-SIYA SHORT KRT/TQ/S,3,rs_online
WW-150-ABHA SHORT KRT/TQ/XL,2,rs_online
WW-150-ABHA SHORT KRT/TQ/L,9,rs_online
WW-150-ABHA SHORT KRT/TQ/M,4,rs_online
WW-150-ABHA SHORT KRT/TQ/S,5,rs_online
WW-136-PAKHI SHORT KRT/YL/XL,3,rs_online
WW-136-PAKHI SHORT KRT/YL/L,9,rs_online
WW-136-PAKHI SHORT KRT/YL/M,7,rs_online
WW-136-PAKHI SHORT KRT/YL/S,4,rs_online
WW-136-PAKHI SHORT KRT/RD/XL,1,rs_online
WW-136-PAKHI SHORT KRT/RD/L,8,rs_online
WW-136-PAKHI SHORT KRT/RD/M,4,rs_online
WW-136-PAKHI SHORT KRT/RD/S,0,rs_online
BANJARA/10/19/WI/ SIDE TIE UP KRT/02/EMB/BG/XL,2,rs_online
BANJARA/10/19/WI/ SIDE TIE UP KRT/02/EMB/BG/L,11,rs_online
BANJARA/10/19/WI/ SIDE TIE UP KRT/02/EMB/BG/M,5,rs_online
BANJARA/10/19/WI/ SIDE TIE UP KRT/02/EMB/BG/S,0,rs_online
BANJARA/10/19/WI/SIDE TIE UP KRT/02/EMB/PK/XL,0,rs_online
BANJARA/10/19/WI/SIDE TIE UP KRT/02/EMB/PK/L,0,rs_online
BANJARA/10/19/WI/ SIDE TIE UP KRT/02/EMB/PK/M,0,rs_online
BANJARA/10/19/WI/SIDE TIE UP KRT/02/EMB/PK/S,2,rs_online
WW-140-LINEN TOP/PK/XL,3,rs_online
WW-140-LINEN TOP/PK/L,11,rs_online
WW-140-LINEN TOP/PK/M,9,rs_online
WW-140-LINEN TOP/ PK/S,2,rs_online
BTC/50/2016/WW/LONG JKT/KATHA/IN/L-XL,1,rs_online
SUJNI/10/2019/WW/CASCADE JKT/03/KATHA/PK/L-XL,2,rs_online
SUJNI/10/2019/WW/CASCADE JKT/03/KATHA/PK/S-M,2,rs_online
SUJNI/10/2019/WW/CH.COLLAR SHORT JKT/01/KATHA/PK/L,5,rs_online
SUJNI/10/2019/WW/CH.COLLAR SHORT JKT/01/KATHA/PK/M,3,rs_online
SUJNI/10/2019/WW/CH.COLLAR SHORT JKT/01/KATHA/PK/S,3,rs_online
BTC 12/16/WW/SHORT KRT/APPLIQUE/BL/XL,0,rs_online
BTC/12/2016/WW/SHORT KRT/APPLIQUE/BL/L,0,rs_online
BTC 12/16/WW/SHORT KRT/APPLIQUE/BL/M,0,rs_online
BTC 12/16/WW/SHORT KRT/APPLIQUE/BL/S,0,rs_online
BTC/10/2016/WI/ANARKALI KRT/APPLIQUE/BL/FS,0,rs_online
BTC/09/2016/WI/SLIT KRT WITHSLEEV/APPLIQUE/BL/XL,1,rs_online
BTC/09/2016/WI/SLIT KRT WITHSLEEV/APPLIQUE/BL/L,4,rs_online
BTC/09/2016/WI/SLIT KRT WITHSLEEV/APPLIQUE/BL/M,1,rs_online
BTC/09/2016/WI/SLIT KRT WITHSLEEV/APPLIQUE/BL/S,1,rs_online
BTC 08/16/WI/SLIT KRT SLEEVELESS/APPLIQUE/BL/XL,2,rs_online
BTC 08/16/WI/SLIT KRT SLEEVELESS/APPLIQUE/BL/L,7,rs_online
BTC 08/16/WI/SLIT KRT SLEEVELESS/APPLIQUE/BL/M,4,rs_online
BTC 08/16/WI/SLIT KRT SLEEVELESS/APPLIQUE/BL/S,2,rs_online
BTC/11/2016/WI/A LINE KRT/APPLIQUE/BL/XL,0,rs_online
BTC/11/2016/WI/A LINE KRT/APPLIQUE/BL/L,0,rs_online
BTC/11/2016/WI/A LINE KRT/APPLIQUE/BL/M,0,rs_online
BTC/11/2016/WI/A LINE KRT/APPLIQUE/BL/S,0,rs_online
WW-138-INDRA SHORT KRT/CR/XL,6,rs_online
WW-138-INDRA SHORT KRT/CR/L,5,rs_online
WW-138-INDRA SHORT KRT/CR/M,6,rs_online
WW-138-INDRA SHORT KRT/CR/S,0,rs_online
WW-138-INDRA SHORT KRTGR/XL,4,rs_online
WW-138-INDRA SHORT KRT/GR/L,8,rs_online
WW-138-INDRA SHORT KRT/GR/M,4,rs_online
WW-138-INDRA SHORT KRT/GR/S,3,rs_online
BTC/45A/2016/WW/LONG SKIRT/MS/FS,2,rs_online
BTC/45/2016/WW/SHORT SKIRT/MS/FS,1,rs_online
WW-118-MRINGLI DRESS/CR/XL,8,rs_online
WW-118-MRINGLI DRESS/CR/L,5,rs_online
WW-118-MRINGLI DRESS/CR/M,5,rs_online
WW-118-MRINGLI DRESS/CR/S,1,rs_online
EDW/12/17/WI/LONG KURTA/11/EMB/BK/XL,0,rs_online
EDW/12/17/WI/LONG KURTA/11/EMB/BK/L,0,rs_online
EDW/12/17/WI/LONG KURTA/11/EMB/BK/M,0,rs_online
EDW/12/17/WI/LONG KURTA/11/EMB/BK/S,0,rs_online
EDW/12/17/WW/SHORT KURTA/12/EMB/BK/XL,0,rs_online
EDW/12/17/WW/SHORT KURTA/12/EMB/BK/L,0,rs_online
EDW/12/17/WW/SHORT KURTA/12/EMB/BK/M,0,rs_online
EDW/12/17/WW/SHORT KURTA/12/EMB/BK/S,0,rs_online
BTC/11/17/WI/TC SILK/SLIT KRT SL/ZARI/05/TQ-4,2,rs_online
BTC/11/17/WI/TC SILK/SLIT KRT SL/ZARI/05/TQ-3,4,rs_online
BTC/11/17/WI/TC SILK/SLIT KRT SL/ZARI/05/TQ-2,5,rs_online
BTC/11/17/WI/TC SILK/SLIT KRT SL/ZARI/05/TQ-1,3,rs_online
BTC/11/17/WI/TC SILK/SLIT KRT SL/ZARI/05/RD/XL,2,rs_online
BTC/11/17/WI/TC SILK/SLIT KRT SL/ZARI/05/RD/L,6,rs_online
BTC/11/17/WI/TC SILK/SLIT KRT SL/ZARI/05/RD/M,8,rs_online
BTC/11/17/WI/TC SILK/SLIT KRT SL/ZARI/05/RD/S,7,rs_online
BTC/46/2016/WI/ANARKALI KURTA/MS/FS,0,rs_online
BTC/46A/2016/WI/ANARKALI KURTASL/MS/FS,5,rs_online
BTC/44/2016/WI/SLIT KURTA/BAGH/MS/XL,0,rs_online
BTC/44/2016/WI/LONG SLIT KURTA/BAGH/MS/L,0,rs_online
BTC/44/2016/WI/SLIT KURTA/BAGH/MS/M,4,rs_online
BTC/44/2016/WI/SLIT KURTA/BAGH/MS/S,3,rs_online
BTC/44A/2016/WI/SLIT KURTA/BAGH/SL/MS/XL,1,rs_online
BTC/44A/2016/WI/SLIT KURTA/BAGH/SL/MS/L,2,rs_online
BTC/44A/2016/WI/SLIT KURTA/BAGH/SL/MS/M,1,rs_online
BTC/44A/2016/WI/SLIT KURTA/BAGH/SL/MS/S,1,rs_online
WI/TARANG LONG KRT/CR/XL,9,rs_online
WI/TARANG LONG KRT/CR/L,7,rs_online
WI/TARANG LONG KRT/CR/M,4,rs_online
WI/TARANG LONG KRT/CR-S,0,rs_online
WI-267-PADMA SILK KRT/GR/XL,0,rs_online
WI-267-PADMA SILK KRT/GR/L,0,rs_online
WI-267-PADMA SILK KRT/GR/M,0,rs_online
WI-267-PADMA SILK KRT/GR/S,0,rs_online
WI-267-PADMA SILK KRT/PR/XL,0,rs_online
WI-267-PADMA SILK KRT/PR/L,0,rs_online
WI-267-PADMA SILK KRT/PR/M,0,rs_online
WI-267-PADMA SILK KRT/PR-S,0,rs_online
WI-272/2016 AJARA MANOPUR KRT/TQ-XL,0,rs_online
WI-272/2017/AJARA MANIPUR KRT/TQ/L,5,rs_online
WI-272/2017/AJARA MANIPUR KRT/TQ/M,16,rs_online
WI-272/2017/AJARA MANIPUR KRT/TQ/S,20,rs_online
WI#KURTA LONG COTTON EXTRA WEFT A-LINE ROUND NECK 3Q YOKE DETAIL/TQ-XXL,11,rs_online
WI#KURTA LONG COTTON EXTRA WEFT A-LINE ROUND NECK 3Q YOKE DETAIL/TQ-XL,0,rs_online
WI#KURTA LONG COTTON EXTRA WEFT A-LINE ROUND NECK 3Q YOKE DETAIL/TQ-L,2,rs_online
WI#KURTA LONG COTTON EXTRA WEFT A-LINE ROUND NECK 3Q YOKE DETAIL/TQ-M,0,rs_online
WI#KURTA LONG COTTON EXTRA WEFT A-LINE ROUND NECK 3Q YOKE DETAIL/TQ-S,0,rs_online
WI-258-TULSI/MS-XL,0,rs_online
WI-258-TULSI/MS/L,6,rs_online
WI-258-TULSI/MS/M,2,rs_online
WI-258-TULSI/MS/S,2,rs_online
WI-244-PADMA/YL/XL,0,rs_online
WI-244-PADMA/YL/L,0,rs_online
WI-244-PADMA/YL-M,0,rs_online
WI-244-PADMA/YL/S,0,rs_online
WI-244-PADMA/GR/XL,0,rs_online
WI-244-PADMA/GR-L,0,rs_online
WI-244-PADMA/GR/M,0,rs_online
WI-244-PADMA/GR/S,0,rs_online
BTC/10/18/WI/ANARKALI JACKET/04/KASHMIRI EMB/BK/FS,3,rs_online
BTC/10/18/WI/ANARKALI JACKET/04/KASHMIRI EMB/BG/FS,9,rs_online
BTC/10/18/WW/CASCADE JACKET/03/KASHMIRI EMB/BG/FS,5,rs_online
BTC/10/18/WW/CASCADE JACKET/03/KASHMIRI EMB/BK/FS,8,rs_online
BTC/48/2016/WW/SHORT JKT/KATHA /IN/L-XL,4,rs_online
BTC/48/2016/WW/SHORT JKT/KATHA /IN/S-M,1,rs_online
SUJNI/10/2019/WW/CH.COLLAR LONG JKT/02/KATHA/PK/L,5,rs_online
SUJNI/10/2019/WW/CH.COLLAR LONG JKT/02/KATHA/PK/M,0,rs_online
SUJNI/10/2019/WW/CH.COLLAR LONG JKT/02/KATHA/PK/S,5,rs_online
BTC/49/2016/WW/SHAWL COLLAR JKT/KATHA/IN/L-XL,0,rs_online
BTC/49/2016/WW/SHAWL COLLAR JKT/KATHA/IN/S-M,3,rs_online
BTC/10/18/WI/ALINE KURTA/01/KASHMIRI EMB/BK/XL,2,rs_online
BTC/10/18/WI/ALINE KURTA/01/KASHMIRI EMB/BK/L,7,rs_online
BTC/10/18/WI/ALINE KURTA/01/KASHMIRI EMB/BK/M,8,rs_online
BTC/10/18/WI/ALINE KURTA/01/KASHMIRI EMB/BK/S,3,rs_online
BTC/10/18/WI/ALINE KURTA/01/KASHMIRI EMB/BG/XL,3,rs_online
BTC/10/18/WI/ALINE KURTA/01/KASHMIRI EMB/BG/L,4,rs_online
BTC/10/18/WI/ALINE KURTA/01/KASHMIRI EMB/BG/M,5,rs_online
BTC/10/18/WI/ALINE KURTA/01/KASHMIRI EMB/BG/S,5,rs_online
BTC/10/18/WI/SLIT KURTA/02/KASHMIRI EMB/BK/XL,2,rs_online
BTC/10/18/WI/SLIT KURTA/02/KASHMIRI EMB/BK/L,3,rs_online
BTC/10/18/WI/SLIT KURTA/02/KASHMIRI EMB/BK/M,6,rs_online
BTC/10/18/WI/SLIT KURTA/02/KASHMIRI EMB/BK/S,6,rs_online
BTC/10/18/WI/SLIT KURTA/02/KASHMIRI EMB/BG/XL,2,rs_online
BTC/10/18/WI/SLIT KURTA/02/KASHMIRI EMB/BG/L,5,rs_online
BTC/10/18/WI/SLIT KURTA/02/KASHMIRI EMB/BG/M,5,rs_online
BTC/10/18/WI/SLIT KURTA/02/KASHMIRI EMB/BG/S,5,rs_online
EDW/2/19/GA/STOLE/08/TIE&DYE MARBLEING/RU-GY/FS,2,rs_online
EDW/2/19/GA/STOLE/06/TIE&DYE CIRCLE/BG/FS,4,rs_online
EDW/2/19/GA/STOLE/09/TIE&DYE MARBLEING/BL-GY/FS,0,rs_online
EDW/2/19/GA/STOLE/07/TIE&DYE MARBLEING/MS/FS,3,rs_online
EDW/2/19/GA/STOLE/10/TIE&DYE SHIBORI/BL/FS,0,rs_online
EDW/5/19/HOME/77X33PATTU/22/EXTRAWEF/BK-NT,10,rs_online
EDW/5/19/HOME/77X33PATTU/22/EXTRAWEF/MUS-NT,7,rs_online
MUSTERD/09/19/HM/18X18/NAPKIN/01/E.W CHECK/MS,6,rs_online
MUSTERD/09/19/HM/18X18/NAPKIN/02/E.W STRIP/MS,3,rs_online
MUSTERD/09/19/HM/14X18/MAT/03/E.WEFT/MS,11,rs_online
MUSTERD/09/19/HM/16X16/C.C/05/E.WEFT/MS,0,rs_online
